pft_index,pft_name,param_min,param_max
1,not_vegetated,0.0,0.0
2,needleleaf_evergreen_temperate_tree,0.05,0.25
3,needleleaf_evergreen_boreal_tree,0.05,0.25
4,needleleaf_deciduous_boreal_tree,0.05,0.25
5,broadleaf_evergreen_tropical_tree,0.05,0.25
6,broadleaf_evergreen_temperate_tree,0.05,0.25
7,broadleaf_deciduous_tropical_tree,0.05,0.25
8,broadleaf_deciduous_temperate_tree,0.05,0.25
9,broadleaf_deciduous_boreal_tree,0.05,0.25
10,broadleaf_evergreen_shrub,0.05,0.25
11,broadleaf_deciduous_temperate_shrub,0.05,0.25
12,broadleaf_deciduous_boreal_shrub,0.05,0.25
13,c3_arctic_grass,0.05,0.25
14,c3_non-arctic_grass,0.05,0.25
15,c4_grass,0.05,0.25
16,c3_crop,0.05,0.25
17,c3_irrigated,0.05,0.25
